nospo_rouge1_P,nospo_rouge1_R,nospo_rouge1_F1,santa_rouge1_P,santa_rouge1_R,santa_rouge1_F1,spo_rouge1_P,spo_rouge1_R,spo_rouge1_F1,Textrank_rouge1_P,Textrank_rouge1_R,Textrank_rouge1_F1
0.913793103448276,0.6794871794871795,0.7794117598140139,0.9310344827586208,0.6923076923076923,0.794117642166955,0.96875,0.7948717948717948,0.8732394316683199,1.0,0.5,0.6666666622222223
0.976470588235294,0.7545454545454545,0.851282046364234,0.9661016949152542,0.5181818181818182,0.6745562084730927,0.9895833333333334,0.8636363636363636,0.9223300921104725,1.0,0.3727272727272727,0.5430463536599273
0.7368421052631579,0.2745098039215686,0.399999996044898,0.9142857142857144,0.6274509803921569,0.7441860416846945,1.0,0.8823529411764706,0.9374999950195312,1.0,0.9803921568627452,0.9900990049014802
0.9555555555555556,0.7678571428571429,0.8514851435741595,0.972972972972973,0.6428571428571429,0.7741935435957915,0.979591836734694,0.8571428571428571,0.9142857093079364,1.0,0.9821428571428572,0.9909909859913968
0.9902912621359224,0.8793103448275862,0.9315068443326868,0.967032967032967,0.7586206896551724,0.8502415409666505,0.9626168224299064,0.8879310344827587,0.923766811151642,1.0,0.6293103448275862,0.7724867677455838
0.9634146341463414,0.7452830188679245,0.8404255269963784,0.9583333333333334,0.6509433962264151,0.775280894058831,0.988095238095238,0.7830188679245284,0.8736842055933519,1.0,0.4245283018867924,0.5960264858821982
0.9722222222222222,0.6481481481481481,0.7777777729777778,1.0,0.6481481481481481,0.7865168491604596,0.9714285714285714,0.6296296296296297,0.7640449390481,1.0,0.7777777777777778,0.8749999950781251
0.9629629629629628,0.7536231884057971,0.8455284503589133,0.9636363636363636,0.7681159420289855,0.8548387047411551,0.9833333333333332,0.855072463768116,0.9147286771948804,1.0,0.6666666666666666,0.7999999952000001
1.0,0.7058823529411765,0.8275862020451843,1.0,0.7941176470588235,0.8852458967051868,1.0,0.9117647058823528,0.9538461488568049,1.0,0.9705882352941176,0.9850746218667856
0.9375,0.6818181818181818,0.7894736793351801,0.9090909090909092,0.6818181818181818,0.7792207743228201,0.9743589743589745,0.8636363636363636,0.9156626456205548,1.0,0.8636363636363636,0.9268292633194528
0.9574468085106383,0.7258064516129032,0.8256880684891846,0.9361702127659576,0.7096774193548387,0.8073394446359734,1.0,0.8387096774193549,0.9122806967928594,1.0,0.8225806451612904,0.9026548623040176
0.9591836734693876,0.746031746031746,0.8392857093638394,0.9772727272727272,0.6825396825396826,0.8037383129146651,1.0,0.9047619047619048,0.9499999950125,1.0,0.6666666666666666,0.7999999952000001
0.979591836734694,0.8275862068965517,0.8971962567176173,0.945945945945946,0.603448275862069,0.7368421005074792,0.9791666666666666,0.8103448275862069,0.8867924478746886,1.0,0.5689655172413793,0.7252747206520952
0.9622641509433962,0.7391304347826086,0.8360655688564902,0.9555555555555556,0.6231884057971014,0.7543859601338874,0.9848484848484848,0.9420289855072465,0.9629629579654322,1.0,0.6666666666666666,0.7999999952000001
0.9473684210526316,0.75,0.8372092973931856,0.972972972972973,0.75,0.8470588186131489,1.0,0.9583333333333334,0.9787233992575828,1.0,0.625,0.7692307644970415
0.9166666666666666,0.7674418604651163,0.8354430330139402,0.9696969696969696,0.7441860465116279,0.8421052582444599,0.9736842105263158,0.8604651162790697,0.9135802419326324,1.0,0.7209302325581395,0.8378378329693207
1.0,0.8717948717948718,0.9315068443385252,1.0,0.8461538461538461,0.9166666617013888,1.0,0.9230769230769232,0.959999995008,1.0,0.8461538461538461,0.9166666617013888
1.0,0.9534883720930232,0.9761904711933108,1.0,0.9069767441860463,0.9512195072070198,1.0,0.9767441860465116,0.9882352891183392,1.0,0.5348837209302325,0.6969696924288338
0.95,0.7037037037037037,0.8085106334087823,0.918918918918919,0.6296296296296297,0.7472527424272432,1.0,0.9074074074074074,0.9514563056913942,1.0,0.7777777777777778,0.8749999950781251
0.9787234042553192,0.8070175438596491,0.8846153796616125,0.9767441860465116,0.7368421052631579,0.8399999950979999,1.0,0.8771929824561403,0.9345794342737356,1.0,0.6666666666666666,0.7999999952000001
0.9146341463414634,0.7575757575757576,0.8287292768120631,0.9861111111111112,0.7171717171717171,0.8304093518498,0.989247311827957,0.9292929292929292,0.9583333283382162,1.0,0.494949494949495,0.6621621577328343
1.0,0.7708333333333334,0.8705882303778547,0.975609756097561,0.8333333333333334,0.8988763995253124,1.0,0.9583333333333334,0.9787233992575828,1.0,0.7708333333333334,0.8705882303778547
1.0,0.7142857142857143,0.8333333284722222,1.0,0.6666666666666666,0.7999999952000001,1.0,0.7619047619047619,0.8648648599561725,1.0,0.7619047619047619,0.8648648599561725
0.984375,0.7777777777777778,0.8689655123101071,0.9827586206896552,0.7037037037037037,0.820143880028984,1.0,0.8518518518518519,0.919999995032,1.0,0.3209876543209876,0.485981304732291
0.9428571428571428,0.717391304347826,0.8148148099070265,0.9032258064516128,0.6086956521739131,0.7272727224624725,0.951219512195122,0.8478260869565217,0.8965517191544458,1.0,0.8043478260869565,0.8915662601190304
0.988095238095238,0.8924731182795699,0.93785310235756,1.0,0.7741935483870968,0.8727272678082645,1.0,0.978494623655914,0.9891304297831996,1.0,0.7741935483870968,0.8727272678082645
1.0,0.6060606060606061,0.7547169764328944,1.0,0.6363636363636364,0.7777777730246914,1.0,0.8181818181818182,0.8999999950500001,1.0,0.9696969696969696,0.984615379616568
0.9444444444444444,0.9042553191489362,0.923913038480624,0.986842105263158,0.7978723404255319,0.882352936232526,0.988095238095238,0.8829787234042553,0.9325842646787024,1.0,0.2872340425531915,0.446280988268561
0.9655172413793104,0.7777777777777778,0.8615384565964498,1.0,0.8333333333333334,0.9090909041322316,1.0,0.9166666666666666,0.9565217341398866,1.0,0.7777777777777778,0.8749999950781251
0.95,0.7307692307692307,0.8260869516068055,1.0,0.6923076923076923,0.8181818133471075,1.0,0.7307692307692307,0.844444439565432,1.0,0.9615384615384616,0.9803921518646674
0.92,0.6052631578947368,0.7301587253716302,0.9629629629629628,0.6842105263157895,0.7999999951431953,1.0,0.7894736842105263,0.8823529362456748,1.0,0.9736842105263158,0.9866666616675556
0.9772727272727272,0.8431372549019608,0.9052631529218838,0.8461538461538461,0.6470588235294118,0.7333333284222223,0.9772727272727272,0.8431372549019608,0.9052631529218838,1.0,0.4117647058823529,0.5833333292013889
1.0,0.8,0.8888888839506174,1.0,0.8,0.8888888839506174,1.0,0.7666666666666667,0.8679245233891066,1.0,0.4,0.5714285673469389
1.0,0.9318181818181818,0.9647058773591696,1.0,0.8863636363636364,0.9397590311627232,1.0,0.9772727272727272,0.9885057421270974,1.0,0.1818181818181818,0.3076923050887574
1.0,0.868421052631579,0.9295774598135292,1.0,0.8421052631578947,0.914285709322449,1.0,0.8947368421052632,0.9444444394598766,1.0,0.9736842105263158,0.9866666616675556
0.9696969696969696,0.7741935483870968,0.8609865421480425,0.9680851063829788,0.7338709677419355,0.83486238041579,1.0,0.8951612903225806,0.9446808460791308,1.0,0.4435483870967742,0.6145251354077589
0.9230769230769232,0.6956521739130435,0.7933884248507617,0.979591836734694,0.6956521739130435,0.8135593171775353,0.9824561403508772,0.8115942028985508,0.8888888839342405,1.0,0.5942028985507246,0.7454545407785125
0.9036144578313252,0.7075471698113207,0.7936507887248397,0.9375,0.7075471698113207,0.806451608000925,0.9787234042553192,0.8679245283018868,0.919999995018,1.0,0.7358490566037735,0.8478260820723063
0.9859154929577464,0.8536585365853658,0.915032674764407,0.984375,0.7682926829268293,0.8630136937061363,1.0,0.902439024390244,0.948717943731098,1.0,0.8048780487804879,0.8918918869503288
0.9680851063829788,0.7844827586206896,0.8666666617215419,0.967391304347826,0.7672413793103449,0.8557692258357988,0.99,0.853448275862069,0.9166666616941016,1.0,0.7155172413793104,0.8341708494088533
0.9473684210526316,0.8181818181818182,0.8780487755145747,0.9423076923076924,0.7424242424242424,0.8305084696466534,1.0,0.9090909090909092,0.9523809473922904,1.0,0.8333333333333334,0.9090909041322316
0.96875,0.7209302325581395,0.8266666617742222,1.0,0.813953488372093,0.8974358924884944,1.0,0.8604651162790697,0.924999995028125,1.0,0.9767441860465116,0.9882352891183392
0.975,0.8478260869565217,0.906976739210384,1.0,0.8695652173913043,0.9302325531638724,1.0,0.8043478260869565,0.8915662601190304,1.0,0.8043478260869565,0.8915662601190304
0.9516129032258064,0.8082191780821918,0.8740740691072703,0.9090909090909092,0.821917808219178,0.8633093475306662,0.9516129032258064,0.8082191780821918,0.8740740691072703,1.0,0.6301369863013698,0.7731092389548762
0.9433962264150944,0.7352941176470589,0.8264462760685746,0.9824561403508772,0.8235294117647058,0.8959999950387201,1.0,0.9264705882352942,0.9618320560759864,1.0,0.9852941176470588,0.9925925875928672
0.9210526315789472,0.7608695652173914,0.8333333283786848,0.9523809523809524,0.8695652173913043,0.9090909041012396,0.9523809523809524,0.8695652173913043,0.9090909041012396,1.0,0.9782608695652174,0.9890109840115928
0.9,0.7941176470588235,0.8437499950195313,0.9655172413793104,0.8235294117647058,0.8888888839203831,0.96875,0.9117647058823528,0.9393939343985308,1.0,0.9705882352941176,0.9850746218667856
0.9583333333333334,0.6052631578947368,0.7419354791259106,1.0,0.9078947368421052,0.9517241329426872,0.9482758620689656,0.7236842105263158,0.8208955174782804,1.0,0.7105263157894737,0.8307692259124261
0.9333333333333332,0.7241379310344828,0.8155339756621737,0.98,0.8448275862068966,0.9074074024348424,0.9433962264150944,0.8620689655172413,0.9009008959110464,1.0,0.9827586206896552,0.991304342826465
0.9743589743589745,0.8085106382978723,0.8837209252758248,0.9230769230769232,0.7659574468085106,0.8372092973688481,0.9777777777777776,0.9361702127659576,0.9565217341327976,1.0,0.851063829787234,0.9195402249174264
0.975,0.7222222222222222,0.8297872291534631,0.945945945945946,0.6481481481481481,0.7692307644052652,0.9555555555555556,0.7962962962962963,0.868686863728191,1.0,0.7777777777777778,0.8749999950781251
0.9473684210526316,0.9473684210526316,0.9473684160526316,0.9636363636363636,0.9298245614035088,0.946428566430166,0.9814814814814816,0.9298245614035088,0.9549549499586072,1.0,0.9824561403508772,0.9911504374782676
1.0,0.7555555555555555,0.8607594887678257,1.0,0.7111111111111111,0.831168826311351,0.9705882352941176,0.7333333333333333,0.8354430330716232,1.0,0.9777777777777776,0.9887640399444514
0.948051948051948,0.8295454545454546,0.8848484798707071,0.935064935064935,0.8181818181818182,0.872727267749495,0.9879518072289156,0.9318181818181818,0.9590643224896548,1.0,0.7045454545454546,0.826666661816889
0.9666666666666668,0.8656716417910447,0.9133858217868436,0.9655172413793104,0.835820895522388,0.8959999950259201,0.984375,0.9402985074626866,0.9618320560713246,1.0,0.6865671641791045,0.8141592872080822
0.9333333333333332,0.6222222222222222,0.7466666618666667,1.0,0.8,0.8888888839506174,1.0,0.8666666666666667,0.9285714235969388,1.0,0.9777777777777776,0.9887640399444514
0.8823529411764706,0.6428571428571429,0.743801648015846,0.96875,0.8857142857142857,0.9253731293383828,0.918032786885246,0.8,0.854961827084669,1.0,0.8571428571428571,0.9230769181065088
0.979591836734694,0.9230769230769232,0.950495044509362,1.0,0.8461538461538461,0.9166666617013888,0.9807692307692308,0.9807692307692308,0.9807692257692308,1.0,0.9807692307692308,0.9902912571363937
0.6753246753246753,0.7323943661971831,0.7027026977109204,0.8431372549019608,0.6056338028169014,0.7049180279212578,0.7088607594936709,0.7887323943661971,0.7466666616808889,1.0,0.9859154929577464,0.9929077964186912
0.9836065573770492,0.6741573033707865,0.7999999951742223,0.975,0.8764044943820225,0.9230769180911034,0.9866666666666668,0.8314606741573034,0.9024390194266808,1.0,0.651685393258427,0.7891156414808645
0.9310344827586208,0.9310344827586208,0.9310344777586208,0.9629629629629628,0.896551724137931,0.9285714235778062,0.9629629629629628,0.896551724137931,0.9285714235778062,1.0,0.9655172413793104,0.9824561353524162
0.921875,0.6483516483516484,0.7612903177323623,0.9027777777777778,0.7142857142857143,0.7975460073378751,1.0,0.8571428571428571,0.9230769181065088,1.0,0.6703296703296703,0.8026315741421399
0.9253731343283582,0.775,0.8435374100050905,0.96,0.6,0.7384615337278106,0.9863013698630136,0.9,0.9411764655987016,1.0,0.9875,0.9937106868240972
1.0,0.7,0.8235294069204152,0.9574468085106383,0.6428571428571429,0.7692307644239902,0.9818181818181818,0.7714285714285715,0.8639999950720001,1.0,0.8428571428571429,0.9147286772068988
