Textrank_berts_P,Textrank_berts_R,Textrank_berts_F1
0.8216,0.9422,0.8778
0.9972,0.9984,0.9978
0.9298,0.9302,0.93
0.8685,0.9207,0.8938
0.9569,0.9688,0.9628
0.8132,0.9549,0.8784
0.8654,0.9543,0.9077
0.8551,0.9642,0.9064
0.9106,0.9833,0.9456
0.8301,0.9542,0.8878
0.7572,0.8908,0.8186
0.7951,0.9035,0.8458
0.8574,0.926,0.8904
0.8002,0.906,0.8498
0.8021,0.923,0.8583
0.9139,0.9126,0.9133
0.8301,0.9286,0.8766
0.7854,0.8872,0.8332
0.8201,0.8994,0.8579
0.7305,0.9121,0.8113
0.9148,0.9154,0.9151
0.984,0.9881,0.9861
0.8528,0.9149,0.8827
0.7959,0.895,0.8425
0.8436,0.9297,0.8846
0.916,0.9155,0.9157
0.8251,0.9005,0.8611
0.8636,0.9286,0.8949
0.9241,0.9249,0.9245
0.903,0.9511,0.9265
0.8425,0.9475,0.8919
0.7603,0.8964,0.8228
0.9143,0.9175,0.9159
0.7713,0.887,0.8251
0.7334,0.9025,0.8092
0.803,0.8915,0.8449
0.9017,0.9028,0.9023
0.7727,0.9216,0.8406
0.795,0.9113,0.8492
0.8988,0.9303,0.9143
0.826,0.9191,0.8701
0.9292,0.9316,0.9304
0.931,0.9308,0.9309
0.882,0.9812,0.9289
0.8834,0.9081,0.8956
0.8509,0.9147,0.8817
0.789,0.9197,0.8493
0.989,0.993,0.9909
0.8517,0.9185,0.8838
0.7714,0.9431,0.8486
0.9918,0.994,0.9929
0.9965,0.9979,0.9972
0.8573,0.9192,0.8872
0.7965,0.9235,0.8553
0.753,0.8892,0.8155
0.8706,0.9324,0.9004
0.7526,0.8961,0.8181
0.9316,0.9606,0.9459
0.9078,0.9104,0.9091
0.7731,0.8894,0.8272
0.805,0.9302,0.8631
0.8599,0.9467,0.9012
0.8227,0.9343,0.8749
0.9071,0.9084,0.9078
0.8151,0.8961,0.8537
0.9914,0.9933,0.9924
0.7775,0.9275,0.8459
0.8157,0.9258,0.8672
0.8574,0.9078,0.8819
0.996,0.9974,0.9967
0.8356,0.9111,0.8717
0.8981,0.961,0.9285
0.8622,0.957,0.9071
0.8122,0.9391,0.871
0.8413,0.9553,0.8947
0.8058,0.9369,0.8664
0.8191,0.9168,0.8652
0.8629,0.9062,0.8841
0.7441,0.8946,0.8124
0.7852,0.9531,0.861
0.7989,0.8956,0.8445
0.9962,0.9979,0.997
0.7864,0.919,0.8476
0.8334,0.9814,0.9014
0.8893,0.9245,0.9066
