spo_rouge1_P,spo_rouge1_R,spo_rouge1_F1
0.96875,0.7948717948717948,0.8732394316683199
0.9895833333333334,0.8636363636363636,0.9223300921104723
1.0,0.8823529411764706,0.9374999950195313
0.9795918367346939,0.8571428571428571,0.9142857093079365
0.9626168224299065,0.8879310344827587,0.9237668111516419
0.9880952380952381,0.7830188679245284,0.8736842055933519
0.9714285714285714,0.6296296296296297,0.7640449390481
0.9833333333333333,0.855072463768116,0.9147286771948803
1.0,0.9117647058823529,0.9538461488568049
0.9743589743589743,0.8636363636363636,0.9156626456205547
1.0,0.8387096774193549,0.9122806967928594
1.0,0.9047619047619048,0.9499999950125001
0.9791666666666666,0.8103448275862069,0.8867924478746886
0.9848484848484849,0.9420289855072463,0.9629629579654322
1.0,0.9583333333333334,0.9787233992575827
0.9736842105263158,0.8604651162790697,0.9135802419326323
1.0,0.9230769230769231,0.959999995008
1.0,0.9767441860465116,0.9882352891183391
1.0,0.9074074074074074,0.9514563056913942
1.0,0.8771929824561403,0.9345794342737357
0.989247311827957,0.9292929292929293,0.9583333283382162
1.0,0.9583333333333334,0.9787233992575827
1.0,0.7619047619047619,0.8648648599561725
1.0,0.8518518518518519,0.919999995032
0.9512195121951219,0.8478260869565217,0.8965517191544458
1.0,0.978494623655914,0.9891304297831995
1.0,0.8181818181818182,0.8999999950500001
0.9880952380952381,0.8829787234042553,0.9325842646787023
1.0,0.9166666666666666,0.9565217341398866
1.0,0.7307692307692307,0.844444439565432
1.0,0.7894736842105263,0.8823529362456748
0.9772727272727273,0.8431372549019608,0.9052631529218838
1.0,0.7666666666666667,0.8679245233891066
1.0,0.9772727272727273,0.9885057421270974
1.0,0.8947368421052632,0.9444444394598766
1.0,0.8951612903225806,0.9446808460791309
0.9824561403508771,0.8115942028985508,0.8888888839342405
0.9787234042553191,0.8679245283018868,0.919999995018
1.0,0.9024390243902439,0.9487179437310981
0.99,0.853448275862069,0.9166666616941016
1.0,0.9090909090909091,0.9523809473922903
1.0,0.8604651162790697,0.924999995028125
1.0,0.8043478260869565,0.8915662601190304
0.9516129032258065,0.8082191780821918,0.8740740691072703
1.0,0.9264705882352942,0.9618320560759863
0.9523809523809523,0.8695652173913043,0.9090909041012396
0.96875,0.9117647058823529,0.9393939343985309
