santa_rouge1_P,santa_rouge1_R,santa_rouge1_F1
0.9310344827586207,0.6923076923076923,0.794117642166955
0.9661016949152542,0.5181818181818182,0.6745562084730927
0.9142857142857143,0.6274509803921569,0.7441860416846945
0.972972972972973,0.6428571428571429,0.7741935435957915
0.967032967032967,0.7586206896551724,0.8502415409666505
0.9583333333333334,0.6509433962264151,0.775280894058831
1.0,0.6481481481481481,0.7865168491604596
0.9636363636363636,0.7681159420289855,0.8548387047411551
1.0,0.7941176470588235,0.8852458967051868
0.9090909090909091,0.6818181818181818,0.7792207743228201
0.9361702127659575,0.7096774193548387,0.8073394446359734
0.9772727272727273,0.6825396825396826,0.8037383129146651
0.9459459459459459,0.603448275862069,0.7368421005074792
0.9555555555555556,0.6231884057971014,0.7543859601338874
0.972972972972973,0.75,0.8470588186131489
0.9696969696969697,0.7441860465116279,0.8421052582444599
1.0,0.8461538461538461,0.9166666617013889
1.0,0.9069767441860465,0.9512195072070198
0.918918918918919,0.6296296296296297,0.7472527424272432
0.9767441860465116,0.7368421052631579,0.8399999950979999
0.9861111111111112,0.7171717171717171,0.8304093518498
0.975609756097561,0.8333333333333334,0.8988763995253124
1.0,0.6666666666666666,0.7999999952000001
0.9827586206896551,0.7037037037037037,0.820143880028984
0.9032258064516129,0.6086956521739131,0.7272727224624725
1.0,0.7741935483870968,0.8727272678082645
1.0,0.6363636363636364,0.7777777730246914
0.9868421052631579,0.7978723404255319,0.882352936232526
1.0,0.8333333333333334,0.9090909041322315
1.0,0.6923076923076923,0.8181818133471075
0.9629629629629629,0.6842105263157895,0.7999999951431953
0.8461538461538461,0.6470588235294118,0.7333333284222223
1.0,0.8,0.8888888839506174
1.0,0.8863636363636364,0.9397590311627233
1.0,0.8421052631578947,0.914285709322449
0.9680851063829787,0.7338709677419355,0.83486238041579
0.9795918367346939,0.6956521739130435,0.8135593171775353
0.9375,0.7075471698113207,0.806451608000925
0.984375,0.7682926829268293,0.8630136937061363
0.967391304347826,0.7672413793103449,0.8557692258357988
0.9423076923076923,0.7424242424242424,0.8305084696466534
1.0,0.813953488372093,0.8974358924884944
1.0,0.8695652173913043,0.9302325531638724
0.9090909090909091,0.821917808219178,0.8633093475306662
0.9824561403508771,0.8235294117647058,0.8959999950387201
0.9523809523809523,0.8695652173913043,0.9090909041012396
0.9655172413793104,0.8235294117647058,0.8888888839203831
1.0,0.9078947368421053,0.9517241329426873
0.98,0.8448275862068966,0.9074074024348423
0.9230769230769231,0.7659574468085106,0.8372092973688481
0.9459459459459459,0.6481481481481481,0.7692307644052652
0.9636363636363636,0.9298245614035088,0.9464285664301659
1.0,0.7111111111111111,0.831168826311351
0.935064935064935,0.8181818181818182,0.872727267749495
0.9655172413793104,0.835820895522388,0.8959999950259201
1.0,0.8,0.8888888839506174
0.96875,0.8857142857142857,0.9253731293383828
1.0,0.8461538461538461,0.9166666617013889
0.8431372549019608,0.6056338028169014,0.7049180279212578
0.975,0.8764044943820225,0.9230769180911034
0.9629629629629629,0.896551724137931,0.9285714235778062
0.9027777777777778,0.7142857142857143,0.7975460073378751
0.96,0.6,0.7384615337278106
0.9574468085106383,0.6428571428571429,0.7692307644239902
0.9795918367346939,0.5393258426966292,0.6956521693331232
0.8928571428571429,0.5434782608695652,0.675675670971512
0.9528301886792453,0.6158536585365854,0.7481481433788753
0.9703703703703703,0.7237569060773481,0.8291139191565856
0.9459459459459459,0.7070707070707071,0.8092485500177086
1.0,0.6813186813186813,0.8104575115195011
0.978021978021978,0.6544117647058824,0.7841409643594869
0.881578947368421,0.6146788990825688,0.7243243194834187
0.9375,0.4205607476635514,0.5806451570147764
0.9571428571428572,0.6907216494845361,0.8023952047115351
0.9411764705882353,0.5981308411214953,0.731428566676898
0.9903846153846154,0.7006802721088435,0.8207171266208474
0.9466666666666667,0.7473684210526316,0.835294112716263
0.9230769230769231,0.5517241379310345,0.6906474773314011
1.0,0.7833333333333333,0.8785046679710019
0.9574468085106383,0.7894736842105263,0.8653846104308432
1.0,0.6705882352941176,0.8028168966028566
0.9696969696969697,0.64,0.7710843325591522
0.9705882352941176,0.8918918918918919,0.9295774597976593
0.9811320754716981,0.611764705882353,0.7536231836746483
0.9807692307692307,0.5862068965517241,0.7338129449573003
0.9605263157894737,0.7934782608695652,0.8690476140929705
0.9818181818181818,0.6666666666666666,0.7941176422415658
1.0,0.6557377049180327,0.7920792031369475
0.9512195121951219,0.5652173913043478,0.7090909044148762
0.9746835443037974,0.8555555555555555,0.9112425985714786
0.9423076923076923,0.6447368421052632,0.7656249951757813
0.9710144927536232,0.67,0.7928994034522602
0.9152542372881356,0.675,0.7769784123803117
0.9666666666666667,0.8055555555555556,0.8787878738292013
0.9636363636363636,0.6794871794871795,0.7969924763525356
0.8867924528301887,0.5280898876404494,0.6619718263072804
0.9122807017543859,0.6933333333333334,0.7878787829717632
0.9459459459459459,0.49295774647887325,0.6481481436436901
1.0,0.7948717948717948,0.8857142807795919
1.0,0.7352941176470589,0.84745762223499
0.972972972972973,0.8275862068965517,0.8944099329207978
0.9871794871794872,0.7,0.8191489313150747
0.9322033898305084,0.7432432432432432,0.8270676642365311
0.975,0.7090909090909091,0.8210526267036012
0.9693877551020408,0.6985294117647058,0.8119658070976696
0.9666666666666667,0.6987951807228916,0.8111888063181575
0.9529411764705882,0.675,0.790243897584771
0.953125,0.8133333333333334,0.8776978367579319
1.0,0.5735294117647058,0.7289719579841034
0.9733333333333334,0.6822429906542056,0.802197797352373
0.9705882352941176,0.7857142857142857,0.8684210476869806
1.0,0.7457627118644068,0.8543689271448771
0.9761904761904762,0.7884615384615384,0.8723404205885016
0.9772727272727273,0.6417910447761194,0.7747747699894488
1.0,0.7636363636363637,0.8659793765331066
0.9782608695652174,0.8653846153846154,0.9183673419575178
0.9883720930232558,0.7456140350877193,0.8499999950980001
0.9512195121951219,0.5,0.6554621803573194
1.0,0.6875,0.8148148099862826
0.9615384615384616,0.8064516129032258,0.8771929774946138
0.9791666666666666,0.734375,0.8392857093877552
0.9696969696969697,0.6530612244897959,0.7804878000684117
