Textrank_rouge1_P,Textrank_rouge1_R,Textrank_rouge1_F1
1.0,0.5,0.6666666622222223
1.0,0.37272727272727274,0.5430463536599273
1.0,0.9803921568627451,0.9900990049014802
1.0,0.9821428571428571,0.9909909859913968
1.0,0.6293103448275862,0.7724867677455838
1.0,0.42452830188679247,0.5960264858821982
1.0,0.7777777777777778,0.8749999950781251
1.0,0.6666666666666666,0.7999999952000001
1.0,0.9705882352941176,0.9850746218667855
1.0,0.8636363636363636,0.9268292633194527
1.0,0.8225806451612904,0.9026548623040176
1.0,0.6666666666666666,0.7999999952000001
1.0,0.5689655172413793,0.7252747206520952
1.0,0.6666666666666666,0.7999999952000001
1.0,0.625,0.7692307644970415
1.0,0.7209302325581395,0.8378378329693207
1.0,0.8461538461538461,0.9166666617013889
1.0,0.5348837209302325,0.6969696924288338
1.0,0.7777777777777778,0.8749999950781251
1.0,0.6666666666666666,0.7999999952000001
1.0,0.494949494949495,0.6621621577328343
1.0,0.7708333333333334,0.8705882303778547
1.0,0.7619047619047619,0.8648648599561725
1.0,0.32098765432098764,0.485981304732291
1.0,0.8043478260869565,0.8915662601190304
1.0,0.7741935483870968,0.8727272678082645
1.0,0.9696969696969697,0.9846153796165681
1.0,0.2872340425531915,0.446280988268561
1.0,0.7777777777777778,0.8749999950781251
1.0,0.9615384615384616,0.9803921518646674
1.0,0.9736842105263158,0.9866666616675556
1.0,0.4117647058823529,0.5833333292013889
1.0,0.4,0.5714285673469389
1.0,0.18181818181818182,0.30769230508875745
1.0,0.9736842105263158,0.9866666616675556
1.0,0.4435483870967742,0.6145251354077589
1.0,0.5942028985507246,0.7454545407785125
1.0,0.7358490566037735,0.8478260820723063
1.0,0.8048780487804879,0.8918918869503288
1.0,0.7155172413793104,0.8341708494088533
1.0,0.8333333333333334,0.9090909041322315
1.0,0.9767441860465116,0.9882352891183391
1.0,0.8043478260869565,0.8915662601190304
1.0,0.6301369863013698,0.7731092389548762
1.0,0.9852941176470589,0.9925925875928671
1.0,0.9782608695652174,0.9890109840115929
1.0,0.9705882352941176,0.9850746218667855
1.0,0.7105263157894737,0.8307692259124261
1.0,0.9827586206896551,0.991304342826465
1.0,0.851063829787234,0.9195402249174265
1.0,0.7777777777777778,0.8749999950781251
1.0,0.9824561403508771,0.9911504374782677
1.0,0.9777777777777777,0.9887640399444514
1.0,0.7045454545454546,0.826666661816889
1.0,0.6865671641791045,0.8141592872080822
1.0,0.9777777777777777,0.9887640399444514
1.0,0.8571428571428571,0.9230769181065088
1.0,0.9807692307692307,0.9902912571363937
1.0,0.9859154929577465,0.9929077964186913
1.0,0.651685393258427,0.7891156414808645
1.0,0.9655172413793104,0.9824561353524162
1.0,0.6703296703296703,0.8026315741421399
1.0,0.9875,0.9937106868240972
1.0,0.8428571428571429,0.9147286772068987
1.0,0.8089887640449438,0.8944099329439451
1.0,0.6956521739130435,0.8205128156738988
1.0,0.5792682926829268,0.7335907289456032
1.0,0.6132596685082873,0.7602739678900826
1.0,0.7777777777777778,0.8749999950781251
1.0,0.6923076923076923,0.8181818133471075
1.0,0.45588235294117646,0.6262626219610244
0.984375,0.5779816513761468,0.728323694760266
1.0,0.7850467289719626,0.8795811469049643
1.0,0.5670103092783505,0.7236842059080679
1.0,0.7009345794392523,0.824175819330395
1.0,0.5102040816326531,0.6756756712016071
1.0,0.5578947368421052,0.7162162116188824
1.0,0.9885057471264368,0.9942196481793579
1.0,0.9833333333333333,0.9915966336558153
1.0,0.7192982456140351,0.8367346890108289
1.0,0.7411764705882353,0.8513513464618335
1.0,0.84,0.9130434732986769
1.0,0.4189189189189189,0.5904761863147393
1.0,0.9882352941176471,0.9940828352368616
1.0,0.632183908045977,0.7746478825778615
1.0,0.6630434782608695,0.7973856161202956
1.0,0.6666666666666666,0.7999999952000001
1.0,0.8688524590163934,0.9298245564281318
1.0,0.7101449275362319,0.8305084697199082
1.0,0.5111111111111111,0.6764705837586505
1.0,0.6447368421052632,0.78399999523328
1.0,0.58,0.7341772105431822
1.0,0.675,0.8059701444419693
1.0,0.625,0.7692307644970415
1.0,0.5128205128205128,0.6779660972134445
1.0,0.9775280898876404,0.9886363586370093
1.0,0.8266666666666667,0.905109484096116
1.0,0.9859154929577465,0.9929077964186913
1.0,0.5769230769230769,0.7317073124330755
1.0,0.9852941176470589,0.9925925875928671
1.0,0.632183908045977,0.7746478825778615
1.0,0.7272727272727273,0.8421052582825486
1.0,0.5405405405405406,0.7017543814096646
1.0,0.7,0.8235294069204152
1.0,0.5220588235294118,0.6859903336572617
1.0,0.7590361445783133,0.8630136937239632
1.0,0.575,0.7301587255228017
1.0,0.6666666666666666,0.7999999952000001
1.0,0.8970588235294118,0.94573642912325
1.0,0.616822429906542,0.7630057756276521
1.0,0.7857142857142857,0.8799999950720001
