nospo_rougeL_P,nospo_rougeL_R,nospo_rougeL_F1,santa_rougeL_P,santa_rougeL_R,santa_rougeL_F1,spo_rougeL_P,spo_rougeL_R,spo_rougeL_F1,Textrank_rougeL_P,Textrank_rougeL_R,Textrank_rougeL_F1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.75,1.0,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.5,0.3333333333333333
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6428571428571429,0.6428571428571429,0.6428571428571429
1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,0.9090909090909092,1.0,1.0,1.0
0.9655172413793104,1.0,0.9824561403508772,1.0,1.0,1.0,0.9655172413793104,1.0,0.9824561403508772,0.1724137931034483,0.8333333333333334,0.2857142857142857
1.0,1.0,1.0,0.9545454545454546,1.0,0.9767441860465116,1.0,1.0,1.0,0.2272727272727272,1.0,0.3703703703703703
0.7857142857142857,1.0,0.88,0.8571428571428571,1.0,0.923076923076923,0.8571428571428571,1.0,0.923076923076923,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,0.923076923076923
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7272727272727273,1.0,0.8421052631578948,0.8181818181818182,1.0,0.9,0.7272727272727273,1.0,0.8421052631578948,0.6363636363636364,1.0,0.7777777777777778
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.6666666666666666
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2857142857142857,1.0,0.4444444444444445,0.2857142857142857,1.0,0.4444444444444445,0.2857142857142857,1.0,0.4444444444444445,0.8571428571428571,0.8571428571428571,0.8571428571428571
0.5333333333333333,0.8,0.64,0.3333333333333333,1.0,0.5,0.5333333333333333,0.8,0.64,0.7333333333333333,0.9166666666666666,0.8148148148148148
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.8
0.7857142857142857,1.0,0.88,0.5714285714285714,1.0,0.7272727272727273,0.7142857142857143,1.0,0.8333333333333333,0.3571428571428571,1.0,0.5263157894736842
