nospo_rouge1_P,nospo_rouge1_R,nospo_rouge1_F1
0.9137931034482759,0.6794871794871795,0.7794117598140139
0.9764705882352941,0.7545454545454545,0.851282046364234
0.7368421052631579,0.27450980392156865,0.39999999604489805
0.9555555555555556,0.7678571428571429,0.8514851435741595
0.9902912621359223,0.8793103448275862,0.9315068443326869
0.9634146341463414,0.7452830188679245,0.8404255269963784
0.9722222222222222,0.6481481481481481,0.7777777729777778
0.9629629629629629,0.7536231884057971,0.8455284503589133
1.0,0.7058823529411765,0.8275862020451843
0.9375,0.6818181818181818,0.7894736793351801
0.9574468085106383,0.7258064516129032,0.8256880684891846
0.9591836734693877,0.746031746031746,0.8392857093638394
0.9795918367346939,0.8275862068965517,0.8971962567176173
0.9622641509433962,0.7391304347826086,0.8360655688564902
0.9473684210526315,0.75,0.8372092973931856
0.9166666666666666,0.7674418604651163,0.8354430330139402
1.0,0.8717948717948718,0.9315068443385252
1.0,0.9534883720930233,0.9761904711933108
0.95,0.7037037037037037,0.8085106334087823
0.9787234042553191,0.8070175438596491,0.8846153796616125
0.9146341463414634,0.7575757575757576,0.8287292768120631
1.0,0.7708333333333334,0.8705882303778547
1.0,0.7142857142857143,0.8333333284722222
0.984375,0.7777777777777778,0.8689655123101071
0.9428571428571428,0.717391304347826,0.8148148099070265
0.9880952380952381,0.8924731182795699,0.9378531023575601
1.0,0.6060606060606061,0.7547169764328944
0.9444444444444444,0.9042553191489362,0.9239130384806239
0.9655172413793104,0.7777777777777778,0.8615384565964498
0.95,0.7307692307692307,0.8260869516068055
0.92,0.6052631578947368,0.7301587253716302
0.9772727272727273,0.8431372549019608,0.9052631529218838
1.0,0.8,0.8888888839506174
1.0,0.9318181818181818,0.9647058773591697
1.0,0.868421052631579,0.9295774598135291
0.9696969696969697,0.7741935483870968,0.8609865421480425
0.9230769230769231,0.6956521739130435,0.7933884248507617
0.9036144578313253,0.7075471698113207,0.7936507887248397
0.9859154929577465,0.8536585365853658,0.915032674764407
0.9680851063829787,0.7844827586206896,0.8666666617215419
0.9473684210526315,0.8181818181818182,0.8780487755145747
0.96875,0.7209302325581395,0.8266666617742222
0.975,0.8478260869565217,0.9069767392103841
0.9516129032258065,0.8082191780821918,0.8740740691072703
